Problem type:
least_squares
nparams:
1
function_evaluation,seconds,x(0),objective_function
     0,  4.5025e-01,  1.0000000000000000e-02,  2.3327844913939449e-02
     1,  9.8079e-01,  1.0000014901161194e-02,  2.3327845551203184e-02
     2,  1.4433e+00,  0.0000000000000000e+00,  2.2908668297666857e-02
     3,  1.8675e+00,  1.4901161193847656e-08,  2.2908668909766554e-02
     4,  2.2944e+00, -1.7745242095313231e-02,  2.2205528755900521e-02
     5,  2.7293e+00, -1.7745256996474425e-02,  2.2205528186766025e-02
     6,  3.1601e+00, -3.6686348697719452e-02,  2.1510090677279943e-02
     7,  3.5836e+00, -3.6686363598880646e-02,  2.1510090151852356e-02
     8,  4.0079e+00, -3.6999919387371842e-02,  2.1499041328012187e-02
     9,  4.4923e+00, -3.6999934288533036e-02,  2.1499040803291292e-02
    10,  4.9361e+00, -3.6999999999994676e-02,  2.1499038489362070e-02
    11,  5.3749e+00, -3.6999985098833482e-02,  2.1499039014083669e-02
